sorter,arrangement,size,median_nanos
QuickSortIterativeWithInSort,DESC,8000,59154400
QuickSortIterativeWithInSort,DESC,9000,77363600
QuickSortIterativeWithInSort,DESC,10000,88064500
QuickSortIterativeWithInSort,DESC,11000,112376300
QuickSortIterativeWithInSort,DESC,12000,132073000
QuickSortIterativeWithInSort,DESC,13000,171178600
QuickSortIterativeWithInSort,DESC,14000,170627000
QuickSortIterativeWithInSort,DESC,15000,169953300
QuickSortIterativeWithInSort,DESC,16000,189962600
QuickSortIterativeWithInSort,DESC,17000,171213800
QuickSortIterativeWithInSort,DESC,18000,191651100
QuickSortIterativeWithInSort,DESC,19000,237109600
QuickSortIterativeWithInSort,DESC,20000,249830700
QuickSortRecursiveHoare,ASC,0,300
QuickSortRecursiveHoare,ASC,1000,2337700
QuickSortRecursiveHoare,ASC,2000,3173100
QuickSortRecursiveHoare,ASC,3000,5448800
QuickSortRecursiveHoare,ASC,4000,9471600
QuickSortRecursiveHoare,ASC,5000,15148900
QuickSortRecursiveHoare,ASC,6000,22126900
QuickSortRecursiveHoare,ASC,7000,46479900
QuickSortRecursiveHoare,ASC,8000,43038300
QuickSortRecursiveHoare,ASC,9000,52358300
QuickSortRecursiveHoare,ASC,10000,65250500
QuickSortRecursiveHoare,ASC,11000,85871500
QuickSortRecursiveHoare,ASC,12000,79489300
QuickSortRecursiveHoare,ASC,13000,88435500
QuickSortRecursiveHoare,ASC,14000,99868400
QuickSortRecursiveHoare,ASC,15000,117616500
QuickSortRecursiveHoare,ASC,16000,225200500
QuickSortRecursiveHoare,ASC,17000,261733900
QuickSortRecursiveHoare,ASC,18000,326102600
QuickSortRecursiveHoare,ASC,19000,386348900
QuickSortRecursiveHoare,ASC,20000,430934700
QuickSortRecursiveHoare,RAND,0,300
QuickSortRecursiveHoare,RAND,1000,1142900
QuickSortRecursiveHoare,RAND,2000,2147500
QuickSortRecursiveHoare,RAND,3000,2562200
QuickSortRecursiveHoare,RAND,4000,4504200
QuickSortRecursiveHoare,RAND,5000,5089200
QuickSortRecursiveHoare,RAND,6000,6087500
QuickSortRecursiveHoare,RAND,7000,3312400
QuickSortRecursiveHoare,RAND,8000,1140800
QuickSortRecursiveHoare,RAND,9000,1420300
QuickSortRecursiveHoare,RAND,10000,1500700
QuickSortRecursiveHoare,RAND,11000,1641900
QuickSortRecursiveHoare,RAND,12000,1848200
QuickSortRecursiveHoare,RAND,13000,1959400
QuickSortRecursiveHoare,RAND,14000,2395300
QuickSortRecursiveHoare,RAND,15000,2399200
QuickSortRecursiveHoare,RAND,16000,2521800
QuickSortRecursiveHoare,RAND,17000,2725300
QuickSortRecursiveHoare,RAND,18000,3391300
QuickSortRecursiveHoare,RAND,19000,2989600
QuickSortRecursiveHoare,RAND,20000,3327700
QuickSortRecursiveHoare,DESC,0,500
QuickSortRecursiveHoare,DESC,1000,937900
QuickSortRecursiveHoare,DESC,2000,3747900
QuickSortRecursiveHoare,DESC,3000,8490900
QuickSortRecursiveHoare,DESC,4000,14728600
QuickSortRecursiveHoare,DESC,5000,29839300
QuickSortRecursiveHoare,DESC,6000,39525800
QuickSortRecursiveHoare,DESC,7000,45841100
